文件,result_357_1783562803.xlsx,result_357_1783562996.xlsx,result_357_1783562198.xlsx,result_357_1783562396.xlsx,result_357_1783562586.xlsx
整体返奖率RTP,0.98654437,0.98392904,0.987030885,0.98755987,0.98313142
主游戏RTP,0.63975681,0.64254608,0.64153445,0.64134315,0.64023526
免费游戏RTP,0.34678756,0.34138296,0.345496435,0.34621672,0.34289616
Bonus游戏RTP,0,0,0,0,0
主游戏HR（中奖率）,0.2884943,0.2887013,0.2885391,0.2885401,0.2884001
免费游戏TR（触发概率）,0.0050848,0.0050761,0.0050978,0.0051002,0.0050943
Bonus游戏TR（触发概率）,0,0,0,0,0
免费游戏倍数,68.200826,67.253001,67.773635,67.882969,67.30977
Bonus游戏倍数,0,0,0,0,0
轴,5,5,5,5,5
最小投注,100000,100000,100000,100000,100000
最大投注,25000000,25000000,25000000,25000000,25000000
最大奖励,125160000,234120000,102555000,174330000,119430000
游戏波动率,8.63931,9.0647,6.82891,7.53767,7.96914
游戏倍数标准差,8.63931,9.0647,6.82891,7.53767,7.96914
免费整局倍数标准差,86.765374,95.32294,48.800526,65.369669,74.890883
千局赢分人数占比,0.4055,0.3972,0.4335,0.425,0.4133
主游戏倍数分布_0,7150168,7148409,7150305,7150353,7151449
"主游戏倍数分布_(0,1)",1557021,1556243,1555329,1555070,1556366
"主游戏倍数分布_[1,5)",994948,996506,995295,995015,993749
"主游戏倍数分布_[5,10)",178186,178209,178860,179114,178023
"主游戏倍数分布_[10,20)",81732,82371,82187,82429,82541
"主游戏倍数分布_[20,50)",32728,33063,32820,32890,32739
"主游戏倍数分布_[50,100)",4492,4438,4453,4399,4392
"主游戏倍数分布_[100,200)",657,688,667,656,665
"主游戏倍数分布_[200,500)",65,71,81,73,74
"主游戏倍数分布_[500,1000)",3,2,3,1,2
主游戏倍数分布_>1000,0,0,0,0,0
免费游戏(单局)倍数分布_0,0,0,0,0,0
"免费游戏(单局)倍数分布_(0,1)",0,0,0,0,0
"免费游戏(单局)倍数分布_[1,5)",0,0,0,0,0
"免费游戏(单局)倍数分布_[5,10)",0,0,0,0,0
"免费游戏(单局)倍数分布_[10,20)",0,0,0,0,0
"免费游戏(单局)倍数分布_[20,50)",0,0,0,0,0
"免费游戏(单局)倍数分布_[50,100)",0,0,0,0,0
"免费游戏(单局)倍数分布_[100,200)",0,0,0,0,0
"免费游戏(单局)倍数分布_[200,500)",0,0,0,0,0
"免费游戏(单局)倍数分布_[500,1000)",0,0,0,0,0
免费游戏(单局)倍数分布_>1000,86600,165758,414830,194560,118929
免费游戏(整局)倍数分布_0,648,282,0,16,257
"免费游戏(整局)倍数分布_(0,1)",754,1031,13,256,621
"免费游戏(整局)倍数分布_[1,5)",3971,5466,293,1864,3493
"免费游戏(整局)倍数分布_[5,10)",5208,5154,991,2749,4167
"免费游戏(整局)倍数分布_[10,20)",7182,7285,3986,6108,6931
"免费游戏(整局)倍数分布_[20,50)",12540,12169,17756,15409,13283
"免费游戏(整局)倍数分布_[50,100)",9453,9004,18083,13672,10882
"免费游戏(整局)倍数分布_[100,200)",7193,6434,8534,8564,8058
"免费游戏(整局)倍数分布_[200,500)",3618,3506,1310,2274,3112
"免费游戏(整局)倍数分布_[500,1000)",271,406,11,85,135
免费游戏(整局)倍数分布_>1000,10,24,1,5,4
