INDEX,GENERAL,CHOOSE,SPIN,总押注,rtp,rtp_check,base_rtp,base_ways_rtp,free_rtp,free_ways_rtp,总赢钱,Ways赢钱,BaseWays,FreeWays,Hit,Hit率,>5x,>10x,>20x,>50x,>100x,>1000x,触发Free,Free频率,Free次数,FreeSpin,Free重触发,Free平均次数,Free平均倍,main_win_times,main_win_rate,free_win_times,free_win_rate,ok,错误,status,FREE_GENERAL,连消0次,连消1次,连消2次,连消3次,连消4次,连消5次,连消6次,连消7次,连消8次,连消9次,连消10+次,base_main_cascade_counts_rtp
0,1,1,1000000,10000000000,0.9727887,0.9727887,0.63100585,0.63100585,0.34178285,0.34178285,9727887000,9727887000,6310058500,3417828500,301485,0.301485,31578,14953,7242,3087,1199,0,4288,0.004288,117024,117024,588,27.291044776119403,79.7068213619403,298540,0.29854,37068,0.3167555373256768,True,,"{""base"": {""free"": 4288, ""spin"": 1000000, ""ways"": [298540, 6310058500]}, ""bet"": 10000000000, ""free"": {""free"": 588, ""spin"": 117024, ""ways"": [37068, 3417828500]}, ""free_times"": 117024, ""gt_1000x"": 0, ""gt_100x"": 1199, ""gt_10x"": 14953, ""gt_20x"": 7242, ""gt_50x"": 3087, ""gt_5x"": 31578, ""hit"": 301485, ""wins"": 9727887000}",,,,,,,,,,,,,
0,2,1,1000000,10000000000,1.00559375,1.00559375,0.6093882,0.6093882,0.39620555,0.39620555,10055937500,10055937500,6093882000,3962055500,297824,0.297824,31565,15286,7689,3489,1396,0,5019,0.005019,137520,137520,711,27.39988045427376,78.94113369197052,294405,0.294405,43591,0.31697934845840603,True,,"{""base"": {""free"": 5019, ""spin"": 1000000, ""ways"": [294405, 6093882000]}, ""bet"": 10000000000, ""free"": {""free"": 711, ""spin"": 137520, ""ways"": [43591, 3962055500]}, ""free_times"": 137520, ""gt_1000x"": 0, ""gt_100x"": 1396, ""gt_10x"": 15286, ""gt_20x"": 7689, ""gt_50x"": 3489, ""gt_5x"": 31565, ""hit"": 297824, ""wins"": 10055937500}",,,,,,,,,,,,,
0,1,1,100000,1000000000,0.9229185,0.9229185,0.6375765,0.6375765,0.285342,0.285342,922918500,922918500,637576500,285342000,30259,0.30259,3173,1512,692,271,99,0,411,0.00411,11208,11208,56,27.27007299270073,69.42627737226277,29962,0.29962,3508,0.3129907209136331,True,,"{""base"": {""free"": 411, ""spin"": 100000, ""ways"": [29962, 637576500]}, ""bet"": 1000000000, ""free"": {""free"": 56, ""spin"": 11208, ""ways"": [3508, 285342000]}, ""free_times"": 11208, ""gt_1000x"": 0, ""gt_100x"": 99, ""gt_10x"": 1512, ""gt_20x"": 692, ""gt_50x"": 271, ""gt_5x"": 3173, ""hit"": 30259, ""wins"": 922918500}",,,,,,,,,,,,,
0,1,1,1000000,10000000000,0.94779895,0.94779895,0.63805095,0.63805095,0.309748,0.309748,9477989500,9477989500,6380509500,3097480000,301864,0.301864,31950,15283,7405,2935,993,0,4316,0.004316,118152,118152,607,27.375347544022244,71.76737720111214,298915,0.298915,37524,0.3175908998578103,True,,"{""base"": {""free"": 4316, ""spin"": 1000000, ""ways"": [298915, 6380509500]}, ""bet"": 10000000000, ""free"": {""free"": 607, ""spin"": 118152, ""ways"": [37524, 3097480000]}, ""free_times"": 118152, ""gt_1000x"": 0, ""gt_100x"": 993, ""gt_10x"": 15283, ""gt_20x"": 7405, ""gt_50x"": 2935, ""gt_5x"": 31950, ""hit"": 301864, ""wins"": 9477989500}",,,,,,,,,,,,,
0,2,1,1000000,10000000000,1.00124335,1.00124335,0.6100265,0.6100265,0.39121685,0.39121685,10012433500,10012433500,6100265000,3912168500,298684,0.298684,31169,15189,7805,3448,1406,0,5016,0.005016,137544,137544,715,27.42105263157895,77.9937898724083,295208,0.295208,43643,0.317302099691735,True,,"{""base"": {""free"": 5016, ""spin"": 1000000, ""ways"": [295208, 6100265000]}, ""bet"": 10000000000, ""free"": {""free"": 715, ""spin"": 137544, ""ways"": [43643, 3912168500]}, ""free_times"": 137544, ""gt_1000x"": 0, ""gt_100x"": 1406, ""gt_10x"": 15189, ""gt_20x"": 7805, ""gt_50x"": 3448, ""gt_5x"": 31169, ""hit"": 298684, ""wins"": 10012433500}",,,,,,,,,,,,,
0,1,1,100000,1000000000,1.014161,1.014161,0.646478,0.646478,0.367683,0.367683,1014161000,1014161000,646478000,367683000,30355,0.30355,3227,1564,797,330,131,0,460,0.0046,12504,12504,61,27.182608695652174,79.93108695652174,30025,0.30025,4024,0.3218170185540627,True,,"{""base"": {""free"": 460, ""spin"": 100000, ""ways"": [30025, 646478000]}, ""bet"": 1000000000, ""free"": {""free"": 61, ""spin"": 12504, ""ways"": [4024, 367683000]}, ""free_times"": 12504, ""gt_1000x"": 0, ""gt_100x"": 131, ""gt_10x"": 1564, ""gt_20x"": 797, ""gt_50x"": 330, ""gt_5x"": 3227, ""hit"": 30355, ""wins"": 1014161000}",1,,,,,,,,,,,,
0,2,1,100000,1000000000,0.9910924999999999,0.9910925,0.618784,0.618784,0.3723085,0.3723085,991092500,991092500,618784000,372308500,29750,0.2975,3121,1573,786,339,127,0,507,0.00507,13632,13632,61,26.88757396449704,73.4336291913215,29389,0.29389,4353,0.31932218309859156,True,,"{""base"": {""free"": 507, ""spin"": 100000, ""ways"": [29389, 618784000]}, ""bet"": 1000000000, ""free"": {""free"": 61, ""spin"": 13632, ""ways"": [4353, 372308500]}, ""free_times"": 13632, ""gt_1000x"": 0, ""gt_100x"": 127, ""gt_10x"": 1573, ""gt_20x"": 786, ""gt_50x"": 339, ""gt_5x"": 3121, ""hit"": 29750, ""wins"": 991092500}",1,,,,,,,,,,,,
0,1,1,100000,1000000000,0.970653,0.970653,0.626452,0.626452,0.344201,0.344201,970653000,970653000,626452000,344201000,30121,0.30121,3194,1509,746,325,117,0,468,0.00468,12528,12528,54,26.76923076923077,73.54722222222223,29789,0.29789,4057,0.32383461047254153,True,,"{""base"": {""free"": 468, ""spin"": 100000, ""ways"": [29789, 626452000]}, ""bet"": 1000000000, ""free"": {""free"": 54, ""spin"": 12528, ""ways"": [4057, 344201000]}, ""free_times"": 12528, ""gt_1000x"": 0, ""gt_100x"": 117, ""gt_10x"": 1509, ""gt_20x"": 746, ""gt_50x"": 325, ""gt_5x"": 3194, ""hit"": 30121, ""wins"": 970653000}",1,,,,,,,,,,,,
0,1,1,100000,1000000000,0.910774,0.910774,0.620504,0.620504,0.29027,0.29027,910774000,910774000,620504000,290270000,30025,0.30025,3118,1415,682,277,98,0,405,0.00405,11160,11160,60,27.555555555555557,71.67160493827161,29737,0.29737,3423,0.30672043010752686,True,,"{""base"": {""free"": 405, ""spin"": 100000, ""ways"": [29737, 620504000]}, ""bet"": 1000000000, ""free"": {""free"": 60, ""spin"": 11160, ""ways"": [3423, 290270000]}, ""free_times"": 11160, ""gt_1000x"": 0, ""gt_100x"": 98, ""gt_10x"": 1415, ""gt_20x"": 682, ""gt_50x"": 277, ""gt_5x"": 3118, ""hit"": 30025, ""wins"": 910774000}",1,,,,,,,,,,,,
0,2,1,100000,1000000000,0.9728574999999999,0.9728575,0.614625,0.614625,0.3582325,0.3582325,972857500,972857500,614625000,358232500,29686,0.29686,3189,1494,780,318,113,0,508,0.00508,13536,13536,56,26.64566929133858,70.51820866141732,29336,0.29336,4225,0.3121306146572104,True,,"{""base"": {""free"": 508, ""spin"": 100000, ""ways"": [29336, 614625000]}, ""bet"": 1000000000, ""free"": {""free"": 56, ""spin"": 13536, ""ways"": [4225, 358232500]}, ""free_times"": 13536, ""gt_1000x"": 0, ""gt_100x"": 113, ""gt_10x"": 1494, ""gt_20x"": 780, ""gt_50x"": 318, ""gt_5x"": 3189, ""hit"": 29686, ""wins"": 972857500}",1,,,,,,,,,,,,
0,1,1,10000000,100000000000,0.95040002,0.95040002,0.634913275,0.634913275,0.315486745,0.315486745,95040002000,95040002000,63491327500,31548674500,3018870,0.301887,318239,150460,72012,29341,10838,0,42507,0.0042507,1155792,1155792,5651,27.190627426071,74.21995083162773,2989343,0.2989343,365279,0.3160421598349876,True,,"{""base"": {""free"": 42507, ""spin"": 10000000, ""ways"": [2989343, 63491327500]}, ""bet"": 100000000000, ""free"": {""free"": 5651, ""spin"": 1155792, ""ways"": [365279, 31548674500]}, ""free_times"": 1155792, ""gt_1000x"": 0, ""gt_100x"": 10838, ""gt_10x"": 150460, ""gt_20x"": 72012, ""gt_50x"": 29341, ""gt_5x"": 318239, ""hit"": 3018870, ""wins"": 95040002000}",1,,,,,,,,,,,,
0,2,1,10000000,100000000000,0.98739371,0.98739371,0.610276155,0.610276155,0.377117555,0.377117555,98739371000,98739371000,61027615500,37711755500,2976059,0.2976059,313394,152979,77637,34138,12708,1,50502,0.0050502,1376952,1376952,6871,27.265296423904005,74.67378618668567,2941133,0.2941133,436040,0.31667044312365283,True,,"{""base"": {""free"": 50502, ""spin"": 10000000, ""ways"": [2941133, 61027615500]}, ""bet"": 100000000000, ""free"": {""free"": 6871, ""spin"": 1376952, ""ways"": [436040, 37711755500]}, ""free_times"": 1376952, ""gt_1000x"": 1, ""gt_100x"": 12708, ""gt_10x"": 152979, ""gt_20x"": 77637, ""gt_50x"": 34138, ""gt_5x"": 313394, ""hit"": 2976059, ""wins"": 98739371000}",1,,,,,,,,,,,,
